Town Name,Center Latitude,Center Longitude,Total Population,Number of Births,Resident Births,Resident Birth Rate,District Type,Eligible for Free Lunch,Estimated 3-4 Year Olds In Poverty,Per Capita Income,Town Wealth,Town Wealth Rank
RockyHill,41.66,-72.64,18760,389,197,10.5,0,0.06,23.34,29701,202701.98,106
Roxbury,41.55,-73.31,2327,38,15,6.4,0,0.02,0.76,56769,935087.8,165
Salem,41.49,-72.27,4094,86,44,10.7,0,0.02,1.72,27288,148488.85,67
Salisbury,41.98,-73.42,4083,53,24,5.9,0,0.12,6.36,38752,653276.33,160
Scotland,41.7,-72.08,1699,29,20,11.8,2,0.14,4.06,22573,96570.45,28
Seymour,41.4,-73.08,16144,351,167,10.3,2,0.16,56.16,24056,129178.35,55
Sharon,41.88,-73.48,3052,45,19,6.2,0,0.14,6.3,45418,615887.23,158
Shelton,41.32,-73.09,39477,811,348,8.8,2,0.1,81.1,29893,271634.82,129
Sherman,41.58,-73.5,4129,61,28,6.8,0,0,0,39070,403842.28,146
Simsbury,41.88,-72.8,23656,460,196,8.3,0,0.04,18.4,39710,206512.04,110
Somers,41.99,-72.45,10877,148,98,9,0,0,0,23952,124894.01,49
SouthWindsor,41.82,-72.62,25985,702,211,8.1,0,0.07,49.14,30966,163692.01,80
Southbury,41.48,-73.21,19677,390,130,6.6,0,0.06,23.4,32545,228963.18,118
Southington,41.6,-72.88,42077,599,425,10.1,0,0.02,11.98,26370,155130.46,74
Sprague,41.62,-72.08,2992,62,36,12,2,0.22,13.64,20796,95626.26,27
Stafford,41.98,-72.29,11857,244,132,11.1,2,0.2,48.8,22017,95453.95,26
Stamford,41.05,-73.54,120045,3661,1809,15.1,1,0.32,1171.52,34987,444599.34,149
Sterling,41.71,-71.83,3519,85,45,12.8,0,0,0,19679,80885.18,14
Stonington,41.34,-71.91,18336,305,147,8,0,0.14,42.7,29653,277716.9,134
Stratford,41.18,-73.13,49943,1158,549,11,2,0.27,312.66,26501,161095.56,78
Suffield,41.98,-72.65,14704,226,114,7.8,0,0.04,9.04,28171,147962.13,66
Thomaston,41.67,-73.07,7938,174,85,10.7,2,0.12,20.88,24799,114030.54,37
Thompson,41.96,-71.86,9345,162,104,11.1,2,0.18,29.16,21003,92635.88,22
Tolland,41.87,-72.37,14571,328,144,9.9,0,0.04,13.12,29892,131840.2,59
Torrington,41.8,-73.12,35995,758,402,11.2,2,0.25,189.5,21406,86805.92,20
Trumbull,41.24,-73.2,35299,799,351,9.9,0,0.04,31.96,34931,291004.74,136
Union,41.98,-72.26,744,21,7,9.4,0,0,0,27900,198145.67,104
Vernon,41.82,-72.48,29491,693,384,13,2,0.24,166.32,25150,109074.28,35
Voluntown,41.57,-71.87,2631,54,23,8.7,2,0.09,4.86,23707,116754.57,41
Wallingford,41.46,-72.82,44736,974,482,10.8,0,0.11,107.14,25947,168216.26,86
Warren,41.74,-73.35,1361,14,17,12.5,0,0.08,1.12,36801,459094.76,152
Washington,41.64,-73.3,3693,72,26,7,0,0.02,1.44,37215,735057.23,162
Waterbury,41.56,-73.05,107902,3272,1647,15.3,1,0.69,2257.68,17701,39677.97,3
